"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
2245048,"02c427de-77ff-4f21-be23-b206faec2543",2019-05-24 21:56:25,1,5.5,"12604124","统一小茗同学冷泡冰橘绿茶480ml","饮料","茶饮料","即饮绿茶","C","小茗同学"
2245195,"c5b8b36a-802b-11e8-adbc-0a58ac1303f0",2019-05-24 21:59:52,1,0.5,"99014182","卫龙亲嘴烧素板筋麦辣鸡汁味(绿色)22g","休闲零食","肉食小食","肉食小食","B","卫龙"
2245195,"c5b8b36a-802b-11e8-adbc-0a58ac1303f0",2019-05-24 21:59:52,1,0.5,"99917861","卫龙亲嘴豆干红烧牛肉味(红色)22g","休闲零食","肉食小食","肉食小食","B","卫龙"
2245357,"bf934083-9012-11e8-be90-0a58ac1305b1",2019-05-24 22:03:27,1,15,"91000100","卡士餐后一小时发酵乳250g（D）","奶制品","酸奶/酸味奶","酸奶/酸味奶","C","卡士"
2245522,"ac4f91c8-2ba7-4bde-83a8-81ffa3aa2762",2019-05-24 22:06:42,1,2.5,"93895392","N香菇串1*4粒","方便速食","鲜食","自制关东煮","B","其他品牌"
2245622,"77f3ed31-80bb-11e8-ae51-0a58ac1303f0",2019-05-24 22:08:49,1,3.5,"11000030","N可口可乐（塑料瓶）500ml","饮料","碳酸饮料","可乐类汽水","C","可口可乐"
2245918,"c066aece-9331-11e8-8279-0a58ac1305b1",2019-05-24 22:15:10,4,180,"33604040","T科罗娜特级啤酒瓶装207ml","酒类","啤酒","啤酒","B","科罗娜"
2245918,"c066aece-9331-11e8-8279-0a58ac1305b1",2019-05-24 22:15:10,1,5.5,"99004528","何老太花生米140g","休闲零食","坚果","坚果","B","其他品牌"
2245918,"c066aece-9331-11e8-8279-0a58ac1305b1",2019-05-24 22:15:10,1,18,"11603904","江小白40%vol（100ml）","酒类","白酒","白酒","B","江小白"
2245925,"1d8dfd3a-2855-417b-a08d-210af5159d86",2019-05-24 22:15:16,1,5.5,"12604037","统一小茗同学溜溜达茶480ml","饮料","茶饮料","其他茶饮料","C","小茗同学"
2246154,"a926ef08-4083-4121-a773-7082bc0be2d2",2019-05-24 22:21:03,1,4.5,"13000090","统一来一桶老坛酸菜牛肉面120g","方便速食","即食类主食","即食面类","A","来一桶"
2246287,"3b6f1a8b-cdad-4330-96fd-1b2722bcd7a6",2019-05-24 22:24:19,2,13.8,"12000735","林利记螺饼150g","休闲零食","饼干","饼干","B","林利记"
2246287,"3b6f1a8b-cdad-4330-96fd-1b2722bcd7a6",2019-05-24 22:24:19,2,16,"18000112","舌尖爱难吃的花生香辣味180g","休闲零食","坚果","坚果","B","舌尖爱"
2246595,"c39969c4-1716-41a1-9a20-50c50c1da33d",2019-05-24 22:31:28,2,8,"11000112","黑松油切麦茶500ml","饮料","茶饮料","其他茶饮料","B","黑松"
