"PID","性别","年龄","年代","距离上次光顾时间","上午活跃","午间活跃","下午活跃","夜间活跃","平均每单购买数量","偏好品类top1","访问门店数","进店次数","进店时间.一周","平均每单购买金额","偏好品类top2","偏好品类top3","偏好品牌top1","偏好品牌top2","偏好品牌top3"
"fca5dd35-0c14-11e8-b20c-0a58ac130012","male",23,"90后",14.4414930555556,0,1,0,1,1.5,"低温果汁",1,2,"工作日活跃",10.625,"其他休闲百货","牙膏","高露洁","其他品牌","味全每日C"
"68ef5596-7c16-4671-ba90-49fa6604e0c1","male",28,"90后",29.0655902777778,0,0,0,1,4,"其他糖果",1,1,"工作日活跃",4,,,"不二家",,
"b9c3d685-9b22-47cb-b9a3-df55df55affc","male",34,"80后",8.94695601851852,0,0,1,1,4,"即食面类",1,2,"工作日活跃",16.75,"加工蛋类","面包","康师傅","白沙","吉百年"
"dc7f23a3-3268-11e8-b234-0a58ac130054","female",28,"90后",15.2057407407407,0,0,0,1,2,"冰淇淋",1,1,"工作日活跃",14,,,"呈真",,
"e6bb9484-1aef-11e8-a76b-0a58ac13001a","male",28,"90后",4.15662037037037,0,0,0,1,2.16666666666667,"硬盒香烟",1,6,"双休日活跃",32.25,"啤酒","酸奶/酸味奶","芙蓉王","七匹狼","爽心"
"a79fb097-1ee8-11e8-bc22-0a58ac130020","female",31,"80后",23.2453703703704,0,0,0,1,2,"即食面类",1,1,"工作日活跃",11,,,"汤达人",,
"4291ba60-2374-11e8-89d8-0a58ac130024","female",20,"90后",17.2904166666667,0,0,1,0,1,"熟食肉制品",1,1,"工作日活跃",1.5,,,"双汇",,
"1ec18e18-b6af-493e-b13a-4686c03f1e27","male",48,"70后",2.04668981481481,0,0,1,1,1.4,"硬盒香烟",1,5,"工作日活跃",16.86,"啤酒","即食面类","百威","好猫","来一桶"
"04e47213-4fca-11e8-83a6-0a58ac130356","male",55,"60后",25.524375,1,0,0,0,1,"果蔬饮料",1,1,"工作日活跃",6,,,"贝奇野菜",,
"b3f6133c-3ebd-4925-88ef-4f32a1db2116","female",46,"70后",6.06215277777778,0,0,0,1,1.8,"肉食小食",1,5,"工作日活跃",8.18,"卫生巾","常温牛奶","卫龙","康师傅","科迪"
"6098edbb-f1db-4580-9d22-36b6773e38c1","female",15,"00后",3.49040509259259,1,0,1,0,1,"包装水",1,6,"工作日活跃",8.83333333333333,"即饮绿茶","可乐类汽水","百事可乐","芙蓉王","康师傅"
"fb40df63-b219-4474-a4e4-a79c16cca3af","male",29,"90后",8.34211805555556,1,0,1,1,2.66666666666667,"自制关东煮",1,3,"双休日活跃",7.66666666666667,"包点类","即饮红茶","其他品牌","康师傅","零度可乐"
"a7ba62d4-6372-4038-82d6-c25233d062c3","male",29,"90后",7.26690972222222,0,0,1,0,1,"即饮红茶",1,1,"工作日活跃",3,,,"统一冰红茶",,
"6af6c197-7e7b-4ec3-8128-eee0d03f8d0e","male",19,"00后",8.4890625,0,1,0,0,1,"即饮红茶",1,1,"工作日活跃",5.5,,,"茶π",,
"fe020b13-42d5-11e8-b272-0a58ac130517","male",21,"90后",17.4273263888889,0,1,0,0,7,"蛋糕",1,2,"工作日活跃",42,"其他糕点","凉果","林利记","其他品牌","达利园"
"9e1eb14c-890c-11e8-b399-0a58ac1305b1","male",21,"90后",17.2877314814815,0,0,1,0,1,"可乐类汽水",1,1,"工作日活跃",3,,,"可口可乐",,
"f27b8e2c-a923-4d0d-aa67-a648681b3de0","male",33,"80后",4.23894675925926,0,0,1,1,1.11111111111111,"硬盒香烟",1,9,"工作日活跃",12.0555555555556,"其他糕点","烟具","七匹狼","林利记","龙顺"
"5364afdb-5136-11e8-83ed-0a58ac130356","male",21,"90后",2.92884259259259,0,1,0,1,1.28571428571429,"熟食肉制品",1,7,,7.04285714285714,"硬盒香烟","包装水","七匹狼","双汇","邦迪"
"80d69063-709f-11e8-98db-0a58ac130598","female",58,"60后",7.2387037037037,0,0,0,1,2,"自制关东煮",1,1,"工作日活跃",2,,,"其他品牌",,
"769a58ec-e03f-416e-9ccc-1e934d636030","male",26,"90后",9.94885416666667,0,0,0,1,1,"软盒香烟",1,1,"工作日活跃",11,,,"云烟",,
"38732f92-8494-4594-9635-e95c236bae14","male",27,"90后",3.14333333333333,0,0,0,1,5,"即食面类",1,1,"工作日活跃",26.4,"低温牛奶","可乐类汽水","白家","康师傅","可口可乐"
"100e3db4-842e-11e8-b1ff-0a58ac1303f0","female",24,"90后",20.2364930555556,0,0,0,1,1,"即饮奶茶",1,1,"双休日活跃",4.5,,,"统一阿萨姆",,
"17955ee9-b8d5-4389-bb77-17b99da59850","female",39,"80后",4.49538194444444,0,1,0,0,2,"即饮绿茶",1,1,"工作日活跃",9.8,"自制面饭类",,"康师傅","其他品牌",
"aeb5ded8-4d01-11e8-b781-0a58ac130522","male",32,"80后",27.3146990740741,0,0,1,0,1,"运动能量饮料",1,1,"双休日活跃",4.5,,,"脉动",,
"906b68a5-149b-11e8-a6d2-0a58ac13001a","male",38,"80后",8.33508101851852,0,0,1,0,1,"软盒香烟",1,2,"工作日活跃",29.5,"硬盒香烟",,"利群","七匹狼",
"2dd12b4c-5e94-11e8-ab84-0a58ac13062f","male",25,"90后",4.96934027777778,1,0,0,1,1,"硬盒香烟",1,3,"双休日活跃",9,,,"七匹狼","云烟",
"79a13223-be32-4af0-9d4d-03ce3041cff7","male",44,"70后",3.2853125,0,0,1,0,1,"可乐类汽水",1,1,"工作日活跃",2,,,"可口可乐",,
"77379307-92d3-11e8-8188-0a58ac1305b1","female",23,"90后",21.4796064814815,0,1,0,0,1,"调味酱",1,1,"工作日活跃",7.5,,,"其他品牌",,
"69913746-fb10-452a-b589-0d320c68663f","female",36,"80后",15.3009606481481,0,0,1,0,1,"肉食小食",1,1,"工作日活跃",2.5,,,"鑫云东",,
"a4116116-5058-11e8-83c0-0a58ac130356","male",19,"00后",20.3445717592593,1,0,1,0,2.5,"自制关东煮",1,2,"双休日活跃",15.75,"烟具","硬盒香烟","其他品牌","芙蓉王","顺成"
"44d8ef4a-2a64-11e8-8e95-0a58ac13027d","male",24,"90后",17.4975347222222,0,1,0,0,1,"柠檬口味汽水",1,1,"工作日活跃",5.5,,,"雪碧纤维+",,
"ce24c7ac-d498-4527-b3d1-1919bc1b3ae2","male",27,"90后",23.0652314814815,0,0,0,1,1,"其他居家用品",1,1,"工作日活跃",3.5,,,"其他品牌",,
"4e71f692-2720-11e8-836a-0a58ac13027b","female",29,"90后",13.1749884259259,1,0,0,1,1.33333333333333,"包装水",1,3,"双休日活跃",5.16666666666667,"酸奶/酸味奶",,"怡宝","科迪","每益添"
"12aedb39-2801-421d-a10f-ea586ea9e9b6","male",20,"90后",4.47789351851852,0,1,0,0,2,"含乳饮料",1,1,"工作日活跃",8,,,"真果粒",,
